instruction,input,output
"Respond as STEWIE from ""Family Guy"" would.",She holds Chris's right hand. And I'm more attracted to him than anybody else I've been with.,"Wait. Wait. Wait. Hold on. You're with Chris, but the attraction is what matters? Is that what you said? The attraction is what's important? And you're with Chris? Ok, just making sure."
"Continue the conversation in the style of ""Family Guy"".",She holds Chris's right hand. And I'm more attracted to him than anybody else I've been with.,"Wait. Wait. Wait. Hold on. You're with Chris, but the attraction is what matters? Is that what you said? The attraction is what's important? And you're with Chris? Ok, just making sure."
"Respond as LOIS from ""Family Guy"" would.","She holds Chris's right hand. Wait. Wait. Wait. Hold on. You're with Chris, but the attraction is what matters? Is that what you said? The attraction is what's important? And you're with Chris? Ok, just making sure.","Meg, when are you gonna find a handsome boy at your school? Maybe that's the problem. You should try looking for a boyfriend at Chris's school. The popular girls are doing it."
"Continue the conversation in the style of ""Family Guy"".","She holds Chris's right hand. Wait. Wait. Wait. Hold on. You're with Chris, but the attraction is what matters? Is that what you said? The attraction is what's important? And you're with Chris? Ok, just making sure.","Meg, when are you gonna find a handsome boy at your school? Maybe that's the problem. You should try looking for a boyfriend at Chris's school. The popular girls are doing it."
"Respond as MEG from ""Family Guy"" would.","She holds Chris's right hand. Meg, when are you gonna find a handsome boy at your school? Maybe that's the problem. You should try looking for a boyfriend at Chris's school. The popular girls are doing it.","Mom, you always told me to be my own person. I don't care what the popular kids are doing! I don't like any of this!"
"Describe what happens next in ""Family Guy"".","She holds Chris's right hand. Meg, when are you gonna find a handsome boy at your school? Maybe that's the problem. You should try looking for a boyfriend at Chris's school. The popular girls are doing it.","Meg flips over her plate against the wall and runs off crying."
"Continue the conversation in the style of ""Family Guy"".","She holds Chris's right hand. Meg, when are you gonna find a handsome boy at your school? Maybe that's the problem. You should try looking for a boyfriend at Chris's school. The popular girls are doing it.","Mom, you always told me to be my own person. I don't care what the popular kids are doing! I don't like any of this!"
"Respond as LOIS from ""Family Guy"" would.","Meg flips over her plate against the wall and runs off crying. Mom, you always told me to be my own person. I don't care what the popular kids are doing! I don't like any of this!","Meg! Get back here!"
"Continue the conversation in the style of ""Family Guy"".","Meg flips over her plate against the wall and runs off crying. Mom, you always told me to be my own person. I don't care what the popular kids are doing! I don't like any of this!","Meg! Get back here!"
"Respond as PETER from ""Family Guy"" would.",Meg flips over her plate against the wall and runs off crying. Meg! Get back here!,"Don't worry, Lois. I set a trap on the stairs to stop her that's impossible to fail."
"Continue the conversation in the style of ""Family Guy"".",Meg flips over her plate against the wall and runs off crying. Meg! Get back here!,"Don't worry, Lois. I set a trap on the stairs to stop her that's impossible to fail."
"Continue the conversation in the style of ""Family Guy"".","Meg flips over her plate against the wall and runs off crying. Don't worry, Lois. I set a trap on the stairs to stop her that's impossible to fail.","Meg runs up the stairs. She sees a bear trap lying on one of the steps. She jumps over it. The stairs cave in. Meg falls inside. A piano rolls down the steps and falls inside the broken staircase hole. The piano crushes Meg."
"Respond as MEG from ""Family Guy"" would.","Meg flips over her plate against the wall and runs off crying. Meg runs up the stairs. She sees a bear trap lying on one of the steps. She jumps over it. The stairs cave in. Meg falls inside. A piano rolls down the steps and falls inside the broken staircase hole. The piano crushes Meg.,Owww..."
"Continue the conversation in the style of ""Family Guy"".","Meg flips over her plate against the wall and runs off crying. Meg runs up the stairs. She sees a bear trap lying on one of the steps. She jumps over it. The stairs cave in. Meg falls inside. A piano rolls down the steps and falls inside the broken staircase hole. The piano crushes Meg.,Owww..."
"Describe what happens next in ""Family Guy"".","Meg flips over her plate against the wall and runs off crying. Owww...,Lois is putting food on everybody's plates."
"Respond as PETER from ""Family Guy"" would.",Lois is putting food on everybody's plates. Owww...,"So where are you guys gonna go on a date? 'Cause I can hook you up at some snazzy places! I...uhh...I have connections, you know."
"Continue the conversation in the style of ""Family Guy"".",Lois is putting food on everybody's plates. Owww...,"So where are you guys gonna go on a date? 'Cause I can hook you up at some snazzy places! I...uhh...I have connections, you know."
"Respond as BRIAN from ""Family Guy"" would.","Lois is putting food on everybody's plates. So where are you guys gonna go on a date? 'Cause I can hook you up at some snazzy places! I...uhh...I have connections, you know.","You have connections?"
"Continue the conversation in the style of ""Family Guy"".","Lois is putting food on everybody's plates. So where are you guys gonna go on a date? 'Cause I can hook you up at some snazzy places! I...uhh...I have connections, you know.","You have connections?"
"Respond as PETER from ""Family Guy"" would.",Lois is putting food on everybody's plates. You have connections?,"Well, sure! We would have never gotten into the movie theater last night if it weren't for me."
"Continue the conversation in the style of ""Family Guy"".",Lois is putting food on everybody's plates. You have connections?,"Well, sure! We would have never gotten into the movie theater last night if it weren't for me."
"Respond as BRIAN from ""Family Guy"" would.","Lois is putting food on everybody's plates. Well, sure! We would have never gotten into the movie theater last night if it weren't for me.","Peter, you paid the usher. Any one of us could have done that."
"Continue the conversation in the style of ""Family Guy"".","Lois is putting food on everybody's plates. Well, sure! We would have never gotten into the movie theater last night if it weren't for me.","Peter, you paid the usher. Any one of us could have done that."
"Respond as PETER from ""Family Guy"" would.","Lois is putting food on everybody's plates. Peter, you paid the usher. Any one of us could have done that.","Yeah. Uh huh. Sure. Maybe you should look for a job and quit being jealous, Brian. You're making yourself look bad. He's usually an outside dog."
"Continue the conversation in the style of ""Family Guy"".","Lois is putting food on everybody's plates. Peter, you paid the usher. Any one of us could have done that.","Yeah. Uh huh. Sure. Maybe you should look for a job and quit being jealous, Brian. You're making yourself look bad. He's usually an outside dog."
"Describe what happens next in ""Family Guy"".","Lois is putting food on everybody's plates. Yeah. Uh huh. Sure. Maybe you should look for a job and quit being jealous, Brian. You're making yourself look bad. He's usually an outside dog.","Brian throws his plate against the wall and walks off, angry that Peter would him degrade him in such a harsh way."
"Respond as CONNIE from ""Family Guy"" would.","Brian throws his plate against the wall and walks off, angry that Peter would him degrade him in such a harsh way. Yeah. Uh huh. Sure. Maybe you should look for a job and quit being jealous, Brian. You're making yourself look bad. He's usually an outside dog.","Chris, let's go. I hear they're showing a special screening of Charlie and the Chocolate Factory."
"Continue the conversation in the style of ""Family Guy"".","Brian throws his plate against the wall and walks off, angry that Peter would him degrade him in such a harsh way. Yeah. Uh huh. Sure. Maybe you should look for a job and quit being jealous, Brian. You're making yourself look bad. He's usually an outside dog.","Chris, let's go. I hear they're showing a special screening of Charlie and the Chocolate Factory."
"Respond as CHRIS from ""Family Guy"" would.","Brian throws his plate against the wall and walks off, angry that Peter would him degrade him in such a harsh way. Chris, let's go. I hear they're showing a special screening of Charlie and the Chocolate Factory.","I don't know if that's a good idea. I had a bad experience watching the original movie..."
"Continue the conversation in the style of ""Family Guy"".","Brian throws his plate against the wall and walks off, angry that Peter would him degrade him in such a harsh way. Chris, let's go. I hear they're showing a special screening of Charlie and the Chocolate Factory.","I don't know if that's a good idea. I had a bad experience watching the original movie..."
"Describe what happens next in ""Family Guy"".","Brian throws his plate against the wall and walks off, angry that Peter would him degrade him in such a harsh way. I don't know if that's a good idea. I had a bad experience watching the original movie...","Chris is watching WILLY WONKA AND THE CHOCOLATE FACTORY. He admires all of the chocolate on the television."
"Describe what happens next in ""Family Guy"".",Chris is watching WILLY WONKA AND THE CHOCOLATE FACTORY. He admires all of the chocolate on the television. I don't know if that's a good idea. I had a bad experience watching the original movie...,"Chris runs up to the television and takes a bite out of it. His teeth hit a wire, and it electrocutes him instantly. Chris's hair stands up as electricity spreads through his body. Chris moans as he can't move his teeth, but they're biting down harder on the wires."
"Describe what happens next in ""Family Guy"".","Chris runs up to the television and takes a bite out of it. His teeth hit a wire, and it electrocutes him instantly. Chris's hair stands up as electricity spreads through his body. Chris moans as he can't move his teeth, but they're biting down harder on the wires. I don't know if that's a good idea. I had a bad experience watching the original movie...","There's an explosion, and Chris is knocked back over the couch. The couch falls on its back as Chris continues to moan."
"Respond as CHRIS from ""Family Guy"" would.","There's an explosion, and Chris is knocked back over the couch. The couch falls on its back as Chris continues to moan. I don't know if that's a good idea. I had a bad experience watching the original movie...","OHHH. That didn't taste good at all!"
"Continue the conversation in the style of ""Family Guy"".","There's an explosion, and Chris is knocked back over the couch. The couch falls on its back as Chris continues to moan. I don't know if that's a good idea. I had a bad experience watching the original movie...","OHHH. That didn't taste good at all!"
"Describe what happens next in ""Family Guy"".","There's an explosion, and Chris is knocked back over the couch. The couch falls on its back as Chris continues to moan. OHHH. That didn't taste good at all!","Connie stands up."
"Respond as CONNIE from ""Family Guy"" would.","Connie stands up. OHHH. That didn't taste good at all!,Well what do you want to do then?"
"Continue the conversation in the style of ""Family Guy"".","Connie stands up. OHHH. That didn't taste good at all!,Well what do you want to do then?"
"Respond as PETER from ""Family Guy"" would.",Connie stands up. Well what do you want to do then?,"SAY YOU WANT TO STUDY! DO IT, SON!"
"Continue the conversation in the style of ""Family Guy"".",Connie stands up. Well what do you want to do then?,"SAY YOU WANT TO STUDY! DO IT, SON!"
"Respond as CHRIS from ""Family Guy"" would.","Connie stands up. SAY YOU WANT TO STUDY! DO IT, SON!","Dad, I don't think I'm comfortable with you commenting on me and Connie's relationship. You seem more enthused than I do. Come on, Connie. Let's go back up to my room."
"Continue the conversation in the style of ""Family Guy"".","Connie stands up. SAY YOU WANT TO STUDY! DO IT, SON!","Dad, I don't think I'm comfortable with you commenting on me and Connie's relationship. You seem more enthused than I do. Come on, Connie. Let's go back up to my room."
"Describe what happens next in ""Family Guy"".","Connie stands up. Dad, I don't think I'm comfortable with you commenting on me and Connie's relationship. You seem more enthused than I do. Come on, Connie. Let's go back up to my room.","Chris and Connie dismiss themselves from the room."
"Respond as PETER from ""Family Guy"" would.","Chris and Connie dismiss themselves from the room. Dad, I don't think I'm comfortable with you commenting on me and Connie's relationship. You seem more enthused than I do. Come on, Connie. Let's go back up to my room.","CHRIS, THERE'S A VIDEO CAMERA IN MY ROOM IF YOU GET LUCKY. ALRIGHT, SON? Alright."
"Continue the conversation in the style of ""Family Guy"".","Chris and Connie dismiss themselves from the room. Dad, I don't think I'm comfortable with you commenting on me and Connie's relationship. You seem more enthused than I do. Come on, Connie. Let's go back up to my room.","CHRIS, THERE'S A VIDEO CAMERA IN MY ROOM IF YOU GET LUCKY. ALRIGHT, SON? Alright."
"Describe what happens next in ""Family Guy"".","Chris and Connie dismiss themselves from the room. CHRIS, THERE'S A VIDEO CAMERA IN MY ROOM IF YOU GET LUCKY. ALRIGHT, SON? Alright.","Meg, Connie, and other students are sitting in science class. Connie is talking to her friends while Meg overhears their conversation."
"Respond as CONNIE'S FRIEND #1 from ""Family Guy"" would.","Meg, Connie, and other students are sitting in science class. Connie is talking to her friends while Meg overhears their conversation. CHRIS, THERE'S A VIDEO CAMERA IN MY ROOM IF YOU GET LUCKY. ALRIGHT, SON? Alright.","So what's going on with you and that 13 year old from the Junior High?"
"Continue the conversation in the style of ""Family Guy"".","Meg, Connie, and other students are sitting in science class. Connie is talking to her friends while Meg overhears their conversation. CHRIS, THERE'S A VIDEO CAMERA IN MY ROOM IF YOU GET LUCKY. ALRIGHT, SON? Alright.","So what's going on with you and that 13 year old from the Junior High?"
"Respond as CONNIE from ""Family Guy"" would.","Meg, Connie, and other students are sitting in science class. Connie is talking to her friends while Meg overhears their conversation. So what's going on with you and that 13 year old from the Junior High?","Ah, it's great. Things are going so well. I still can't believe it's working out."
"Continue the conversation in the style of ""Family Guy"".","Meg, Connie, and other students are sitting in science class. Connie is talking to her friends while Meg overhears their conversation. So what's going on with you and that 13 year old from the Junior High?","Ah, it's great. Things are going so well. I still can't believe it's working out."
"Describe what happens next in ""Family Guy"".","Meg, Connie, and other students are sitting in science class. Connie is talking to her friends while Meg overhears their conversation. Ah, it's great. Things are going so well. I still can't believe it's working out.","Meg smiles, happy that Connie is satisfied with Chris."
"Respond as CONNIE'S FRIEND #2 from ""Family Guy"" would.","Meg smiles, happy that Connie is satisfied with Chris. Ah, it's great. Things are going so well. I still can't believe it's working out.","Ha. I can't believe the fatso thinks you really like him."
"Continue the conversation in the style of ""Family Guy"".","Meg smiles, happy that Connie is satisfied with Chris. Ah, it's great. Things are going so well. I still can't believe it's working out.","Ha. I can't believe the fatso thinks you really like him."
"Describe what happens next in ""Family Guy"".","Meg smiles, happy that Connie is satisfied with Chris. Ha. I can't believe the fatso thinks you really like him.","Meg gasps and turns around."
"Respond as CONNIE from ""Family Guy"" would.",Meg gasps and turns around. Ha. I can't believe the fatso thinks you really like him.,"Yeah. My ex boyfriend is already jealous. Ha, this is so cool. I never would have expected this plan to work."
"Continue the conversation in the style of ""Family Guy"".",Meg gasps and turns around. Ha. I can't believe the fatso thinks you really like him.,"Yeah. My ex boyfriend is already jealous. Ha, this is so cool. I never would have expected this plan to work."
"Describe what happens next in ""Family Guy"".","Meg gasps and turns around. Yeah. My ex boyfriend is already jealous. Ha, this is so cool. I never would have expected this plan to work.","Meg is furious. She jumps out of her chair and runs over to Connie."
"Respond as MEG from ""Family Guy"" would.","Meg is furious. She jumps out of her chair and runs over to Connie. Yeah. My ex boyfriend is already jealous. Ha, this is so cool. I never would have expected this plan to work.","Connie Demico! You're using my brother to make your ex boyfriend jealous?"
"Continue the conversation in the style of ""Family Guy"".","Meg is furious. She jumps out of her chair and runs over to Connie. Yeah. My ex boyfriend is already jealous. Ha, this is so cool. I never would have expected this plan to work.","Connie Demico! You're using my brother to make your ex boyfriend jealous?"
"Respond as CONNIE from ""Family Guy"" would.",Meg is furious. She jumps out of her chair and runs over to Connie. Connie Demico! You're using my brother to make your ex boyfriend jealous?,"No! No! Not at all! Oh, wait. Yeah, I am."
"Continue the conversation in the style of ""Family Guy"".",Meg is furious. She jumps out of her chair and runs over to Connie. Connie Demico! You're using my brother to make your ex boyfriend jealous?,"No! No! Not at all! Oh, wait. Yeah, I am."
"Respond as MEG from ""Family Guy"" would.","Meg is furious. She jumps out of her chair and runs over to Connie. No! No! Not at all! Oh, wait. Yeah, I am.","I can't believe you would sink so low! He didn't do anything to you!"
"Continue the conversation in the style of ""Family Guy"".","Meg is furious. She jumps out of her chair and runs over to Connie. No! No! Not at all! Oh, wait. Yeah, I am.","I can't believe you would sink so low! He didn't do anything to you!"
"Respond as CONNIE from ""Family Guy"" would.",Meg is furious. She jumps out of her chair and runs over to Connie. I can't believe you would sink so low! He didn't do anything to you!,"What's your problem, Meg? It's not like I'm doing it to you. You should be happy that I'm leaving you alone for once."
"Continue the conversation in the style of ""Family Guy"".",Meg is furious. She jumps out of her chair and runs over to Connie. I can't believe you would sink so low! He didn't do anything to you!,"What's your problem, Meg? It's not like I'm doing it to you. You should be happy that I'm leaving you alone for once."
"Respond as MEG from ""Family Guy"" would.","Meg is furious. She jumps out of her chair and runs over to Connie. What's your problem, Meg? It's not like I'm doing it to you. You should be happy that I'm leaving you alone for once.","No, this is a new low for you! You're messing with my family and that's not cool!"
"Continue the conversation in the style of ""Family Guy"".","Meg is furious. She jumps out of her chair and runs over to Connie. What's your problem, Meg? It's not like I'm doing it to you. You should be happy that I'm leaving you alone for once.","No, this is a new low for you! You're messing with my family and that's not cool!"
"Respond as CONNIE from ""Family Guy"" would.","Meg is furious. She jumps out of her chair and runs over to Connie. No, this is a new low for you! You're messing with my family and that's not cool!","I think your family is messed up enough already."
"Continue the conversation in the style of ""Family Guy"".","Meg is furious. She jumps out of her chair and runs over to Connie. No, this is a new low for you! You're messing with my family and that's not cool!","I think your family is messed up enough already."
"Respond as MEG from ""Family Guy"" would.",Meg is furious. She jumps out of her chair and runs over to Connie. I think your family is messed up enough already.,"If you want to pick on me, whatever. But you leave my brother alone! Now I'm gonna have to be the one to tell him what you've done! And he's gonna be hurt from what I say, when you're the one that did it!"
"Continue the conversation in the style of ""Family Guy"".",Meg is furious. She jumps out of her chair and runs over to Connie. I think your family is messed up enough already.,"If you want to pick on me, whatever. But you leave my brother alone! Now I'm gonna have to be the one to tell him what you've done! And he's gonna be hurt from what I say, when you're the one that did it!"
"Respond as CONNIE from ""Family Guy"" would.","Meg is furious. She jumps out of her chair and runs over to Connie. If you want to pick on me, whatever. But you leave my brother alone! Now I'm gonna have to be the one to tell him what you've done! And he's gonna be hurt from what I say, when you're the one that did it!","You think he'll believe you? Meg, nobody listens to anything you say. Why would your brother be any different? He's obviously clueless."
"Continue the conversation in the style of ""Family Guy"".","Meg is furious. She jumps out of her chair and runs over to Connie. If you want to pick on me, whatever. But you leave my brother alone! Now I'm gonna have to be the one to tell him what you've done! And he's gonna be hurt from what I say, when you're the one that did it!","You think he'll believe you? Meg, nobody listens to anything you say. Why would your brother be any different? He's obviously clueless."
"Respond as MEG from ""Family Guy"" would.","Meg is furious. She jumps out of her chair and runs over to Connie. You think he'll believe you? Meg, nobody listens to anything you say. Why would your brother be any different? He's obviously clueless.","Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!"
"Continue the conversation in the style of ""Family Guy"".","Meg is furious. She jumps out of her chair and runs over to Connie. You think he'll believe you? Meg, nobody listens to anything you say. Why would your brother be any different? He's obviously clueless.","Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!"
"Describe what happens next in ""Family Guy"".","Meg is furious. She jumps out of her chair and runs over to Connie. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Meg swings her fist, and Connie ducks."
"Describe what happens next in ""Family Guy"".","Meg swings her fist, and Connie ducks. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Connie swings back, and her fist strikes Meg across the cheek. Meg is knocked back against a test tube rack, and shattered glass showers over the floor."
"Describe what happens next in ""Family Guy"".","Connie swings back, and her fist strikes Meg across the cheek. Meg is knocked back against a test tube rack, and shattered glass showers over the floor. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Meg is furious. She grabs a broken piece of glass and swings it at Connie, trying to slice her. The glass cuts Connie's arm."
"Describe what happens next in ""Family Guy"".","Meg is furious. She grabs a broken piece of glass and swings it at Connie, trying to slice her. The glass cuts Connie's arm. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Connie retorts with a swing of a science book. The book hits Meg in the forehead."
"Describe what happens next in ""Family Guy"".","Connie retorts with a swing of a science book. The book hits Meg in the forehead. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Meg grabs Connie by the hair and bashes her head against a student desk, faster and faster, harder and harder."
"Describe what happens next in ""Family Guy"".","Meg grabs Connie by the hair and bashes her head against a student desk, faster and faster, harder and harder. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Connie swings her feet from behind, kicking Meg in the chest. Meg falls on the floor. Connie pounces on her like a tiger."
"Describe what happens next in ""Family Guy"".","Connie swings her feet from behind, kicking Meg in the chest. Meg falls on the floor. Connie pounces on her like a tiger. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Meg punches Connie in the stomach."
"Describe what happens next in ""Family Guy"".","Meg punches Connie in the stomach. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Connie picks Meg up from the floor and lifts her head towards the twirling ceiling fan. The blades of the fan knock Meg in the head."
"Describe what happens next in ""Family Guy"".","Connie picks Meg up from the floor and lifts her head towards the twirling ceiling fan. The blades of the fan knock Meg in the head. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Meg grabs a fan blade, yanking it from the ceiling fan. She swings the fan blade at Connie, knocking her repeatedly across the face."
"Describe what happens next in ""Family Guy"".","Meg grabs a fan blade, yanking it from the ceiling fan. She swings the fan blade at Connie, knocking her repeatedly across the face. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","The two both fall to the floor, tired and bruised, breathing heavy."
"Describe what happens next in ""Family Guy"".","The two both fall to the floor, tired and bruised, breathing heavy. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it."
"Respond as PRINCIPAL SHEPHERD from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Ok, Connie, your parents are on their way. Now Meg, Mr. and Mrs. Griffin, I am very upset that your daughter was the first to swing at Connie. I would expect that you, as parents, would teach Meg that violence is not a probable solution to any disputes."
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Connie, I've been wanting to do this for a long time. You've never ached me enough to do it, but this is the worst crap you've ever done, and I think you deserve it!","Ok, Connie, your parents are on their way. Now Meg, Mr. and Mrs. Griffin, I am very upset that your daughter was the first to swing at Connie. I would expect that you, as parents, would teach Meg that violence is not a probable solution to any disputes."
"Respond as PETER from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Ok, Connie, your parents are on their way. Now Meg, Mr. and Mrs. Griffin, I am very upset that your daughter was the first to swing at Connie. I would expect that you, as parents, would teach Meg that violence is not a probable solution to any disputes.","Speak English, Lu Xun."
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Ok, Connie, your parents are on their way. Now Meg, Mr. and Mrs. Griffin, I am very upset that your daughter was the first to swing at Connie. I would expect that you, as parents, would teach Meg that violence is not a probable solution to any disputes.","Speak English, Lu Xun."
"Respond as PRINCIPAL SHEPHERD from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Speak English, Lu Xun.","Your daughter will be suspended for the next two days due to her behavior."
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Speak English, Lu Xun.","Your daughter will be suspended for the next two days due to her behavior."
"Respond as MEG from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Your daughter will be suspended for the next two days due to her behavior.","WHAT!?"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Your daughter will be suspended for the next two days due to her behavior.","WHAT!?"
"Respond as CONNIE from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. WHAT!?","Good!"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. WHAT!?","Good!"
"Respond as LOIS from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Good!","Oh my God! Principal Shepherd, I know my daughter had a justifiable reason for acting this way. Please, let her explain."
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Good!","Oh my God! Principal Shepherd, I know my daughter had a justifiable reason for acting this way. Please, let her explain."
"Respond as PRINCIPAL SHEPHERD from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Oh my God! Principal Shepherd, I know my daughter had a justifiable reason for acting this way. Please, let her explain.","Oh, alright... Start talking, Meg."
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Oh my God! Principal Shepherd, I know my daughter had a justifiable reason for acting this way. Please, let her explain.","Oh, alright... Start talking, Meg."
"Respond as MEG from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Oh, alright... Start talking, Meg.","Connie is dating my brother, who's only 13. And she's doing it to get back at her ex boyfriend! Not because she likes him!"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Oh, alright... Start talking, Meg.","Connie is dating my brother, who's only 13. And she's doing it to get back at her ex boyfriend! Not because she likes him!"
"Respond as CONNIE from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Connie is dating my brother, who's only 13. And she's doing it to get back at her ex boyfriend! Not because she likes him!","It's not true!"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Connie is dating my brother, who's only 13. And she's doing it to get back at her ex boyfriend! Not because she likes him!","It's not true!"
"Respond as LOIS from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. It's not true!","Meg, why would you think that?"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. It's not true!","Meg, why would you think that?"
"Respond as MEG from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Meg, why would you think that?","Mom, she told me today! That's why I swung at her! I don't want Chris to be hurt, and if he stays with her, he will be!"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Meg, why would you think that?","Mom, she told me today! That's why I swung at her! I don't want Chris to be hurt, and if he stays with her, he will be!"
"Respond as LOIS from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Mom, she told me today! That's why I swung at her! I don't want Chris to be hurt, and if he stays with her, he will be!","Now that still doesn't give you any right to punch a girl! You were taught not to!"
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Mom, she told me today! That's why I swung at her! I don't want Chris to be hurt, and if he stays with her, he will be!","Now that still doesn't give you any right to punch a girl! You were taught not to!"
"Respond as MEG from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Now that still doesn't give you any right to punch a girl! You were taught not to!","The bitch had it coming, and I owed it to her anyway."
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. Now that still doesn't give you any right to punch a girl! You were taught not to!","The bitch had it coming, and I owed it to her anyway."
"Respond as PRINCIPAL SHEPHERD from ""Family Guy"" would.","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. The bitch had it coming, and I owed it to her anyway.","I've heard about enough of this nonsense. Meg, personal matters are not to be dealt with at school. I am still suspending you for the next two days."
"Continue the conversation in the style of ""Family Guy"".","PRINCIPAL SHEPHERD is sitting behind his desk on the phone. Lois, Peter, Meg, and Connie are sitting in front of it. The bitch had it coming, and I owed it to her anyway.","I've heard about enough of this nonsense. Meg, personal matters are not to be dealt with at school. I am still suspending you for the next two days."
